# Positron Data Export
# Export Date: 2026-02-02 16:37:34
#
# Scope Model: 3406D
# Serial Number: JZ254/0097
# Sample Rate: 250.00 MS/s
# Voltage Range: 100 mV (all channels)
# Capture Window: 2.996 µs (Pre: 0.996 µs, Post: 2.000 µs)
#
# Trigger Configuration:
#   Condition 1: A
#   Condition 2: B
#   Condition 3: C
#   Condition 4: D
#   Auto-trigger: OFF
#
# Calibration Status:
#   Channel A: Calibrated
#     Gain: 3.583508e-02 keV/(mV·ns)
#     Offset: -14.722541 keV
#     Date: 2026-02-02 10:30
#   Channel B: Calibrated
#     Gain: 3.755677e-02 keV/(mV·ns)
#     Offset: -19.619001 keV
#     Date: 2026-02-02 10:30
#   Channel C: Calibrated
#     Gain: 3.620966e-02 keV/(mV·ns)
#     Offset: -34.953938 keV
#     Date: 2026-02-02 10:29
#   Channel D: Calibrated
#     Gain: 3.946591e-02 keV/(mV·ns)
#     Offset: -21.964536 keV
#     Date: 2026-02-02 10:28
#
# Acquisition Statistics:
#   Total Events: 1,170
#   Elapsed Time: 00:00:09
#   Average Rate: 126.1 events/s
#
A_has_pulse,A_timing_ns,A_energy_kev,B_has_pulse,B_timing_ns,B_energy_kev,C_has_pulse,C_timing_ns,C_energy_kev,D_has_pulse,D_timing_ns,D_energy_kev
TRUE,4.164340,536.781493,FALSE,0.000000,-18.901666,FALSE,0.000000,-36.009606,TRUE,44.000000,527.955721
FALSE,0.000000,-15.177534,FALSE,0.000000,-19.138244,TRUE,0.000000,-29.398477,FALSE,0.000000,-21.399735
FALSE,0.000000,-15.291282,TRUE,0.598894,190.497920,FALSE,0.000000,-32.314077,FALSE,0.000000,-20.785820
TRUE,3.497961,266.196688,FALSE,0.000000,-19.495011,FALSE,0.000000,-35.189352,FALSE,0.000000,-24.280875
FALSE,0.000000,-14.950037,FALSE,0.000000,-19.375772,FALSE,0.000000,-34.274471,TRUE,3.766187,961.053044
FALSE,0.000000,-14.834462,TRUE,20.000000,174.234047,FALSE,0.000000,-33.467141,FALSE,0.000000,-22.790440
TRUE,5.006098,189.715443,FALSE,0.000000,-18.665088,FALSE,0.000000,-35.310751,FALSE,0.000000,-22.534851
FALSE,0.000000,-14.262067,FALSE,0.000000,-21.040348,TRUE,20.000000,101.938325,FALSE,0.000000,-23.284579
TRUE,5.599775,496.656108,FALSE,0.000000,-18.666038,FALSE,0.000000,-34.392177,FALSE,0.000000,-24.036312
TRUE,5.073999,509.884056,FALSE,0.000000,-18.190982,FALSE,0.000000,-34.508961,TRUE,2.660598,59.604292
FALSE,0.000000,-14.493217,TRUE,2.995484,200.231001,FALSE,0.000000,-36.467508,FALSE,0.000000,-20.284664
FALSE,0.000000,-14.492304,TRUE,1.261008,512.587057,FALSE,0.000000,-33.465295,FALSE,0.000000,-21.295995
FALSE,0.000000,-14.719800,FALSE,0.000000,-19.254633,FALSE,0.000000,-34.047337,TRUE,3.624390,535.587645
TRUE,3.999965,173.647514,TRUE,4.914520,174.949624,FALSE,0.000000,-35.312598,FALSE,0.000000,-20.034087
TRUE,3.750062,513.526952,FALSE,0.000000,-18.190032,FALSE,0.000000,-33.701631,FALSE,0.000000,-23.531147
FALSE,0.000000,-14.721627,TRUE,4.000016,147.887504,FALSE,0.000000,-35.309828,FALSE,0.000000,-16.539031
TRUE,0.009579,150.843453,FALSE,0.000000,-18.548699,FALSE,0.000000,-35.430304,FALSE,0.000000,-24.044330
TRUE,4.449896,489.363207,FALSE,0.000000,-19.376260,FALSE,0.000000,-35.080877,TRUE,5.447637,146.825300
TRUE,4.500499,887.845189,FALSE,0.000000,-19.971018,FALSE,0.000000,-33.122330,FALSE,0.000000,-20.904593
FALSE,0.000000,-14.950037,FALSE,0.000000,-19.732540,FALSE,0.000000,-36.348878,TRUE,1.420004,494.403656
FALSE,0.000000,-15.063785,TRUE,0.722132,1241.979746,FALSE,0.000000,-35.424765,FALSE,0.000000,-24.425709
FALSE,0.000000,-14.836289,FALSE,0.000000,-19.617101,TRUE,5.941057,1262.547746,FALSE,0.000000,-20.531233
FALSE,0.000000,-14.492304,TRUE,4.000000,46.078026,FALSE,0.000000,-33.352204,FALSE,0.000000,-22.054717
FALSE,0.000000,-14.720714,FALSE,0.000000,-20.089307,TRUE,2.653047,1277.578170,FALSE,0.000000,-27.416603
FALSE,0.000000,-14.037311,FALSE,0.000000,-20.327785,TRUE,52.000000,71.839957,FALSE,0.000000,-24.539471
FALSE,0.000000,-14.263894,TRUE,27.010107,57.115379,FALSE,0.000000,-35.200430,FALSE,0.000000,-21.411762
FALSE,0.000000,-14.834462,FALSE,0.000000,-19.372922,TRUE,6.016024,418.265940,FALSE,0.000000,-18.410845
FALSE,0.000000,-14.948210,FALSE,0.000000,-19.966267,TRUE,6.473627,521.352801,FALSE,0.000000,-20.663037
FALSE,0.000000,-15.062872,FALSE,0.000000,-20.442274,TRUE,5.388482,236.056959,FALSE,0.000000,-20.665041
FALSE,0.000000,-14.492304,FALSE,0.000000,-19.495962,FALSE,0.000000,-32.895225,TRUE,2.784438,237.567740
FALSE,0.000000,-15.175706,TRUE,0.333597,173.647688,FALSE,0.000000,-36.470278,FALSE,0.000000,-20.781810
FALSE,0.000000,-14.721627,FALSE,0.000000,-19.970068,FALSE,0.000000,-34.739758,TRUE,24.000000,174.478875
FALSE,0.000000,-14.494131,TRUE,0.285864,268.928159,FALSE,0.000000,-34.969633,FALSE,0.000000,-21.928954
TRUE,2.678239,169.084632,FALSE,0.000000,-18.784327,FALSE,0.000000,-36.579676,FALSE,0.000000,-22.036703
TRUE,3.007058,187.092555,FALSE,0.000000,-20.206646,FALSE,0.000000,-34.155841,FALSE,0.000000,-23.406360
FALSE,0.000000,-14.494131,TRUE,2.998342,234.525040,FALSE,0.000000,-33.927813,FALSE,0.000000,-24.157090
FALSE,0.000000,-14.606966,FALSE,0.000000,-19.615201,TRUE,8.687956,354.259737,FALSE,0.000000,-23.414378
TRUE,24.000000,181.840610,FALSE,0.000000,-19.851779,FALSE,0.000000,-34.974249,FALSE,0.000000,-20.412459
FALSE,0.000000,-14.492304,TRUE,0.691192,518.033405,FALSE,0.000000,-13.113599,FALSE,0.000000,-20.169900
